#       k [h/Mpc]           P_cdm          P_vcdm         P_total
        0.243594     0.000527787     0.000527787     0.000527787
         0.25902     0.000477614     0.000477614     0.000477614
        0.275423     0.000419122     0.000419122     0.000419122
        0.292864     0.000368206     0.000368206     0.000368206
        0.311411     0.000330276     0.000330276     0.000330276
        0.331131     0.000292301     0.000292301     0.000292301
        0.352101     0.000256397     0.000256397     0.000256397
        0.374398     0.000227674     0.000227674     0.000227674
        0.398107     0.000200392     0.000200392     0.000200392
        0.423318     0.000176287     0.000176287     0.000176287
        0.450125     0.000155343     0.000155343     0.000155343
         0.47863     0.000136297     0.000136297     0.000136297
         0.50894     0.000119764     0.000119764     0.000119764
         0.54117     0.000104953     0.000104953     0.000104953
         0.57544      9.1976e-05      9.1976e-05      9.1976e-05
        0.611881     8.04876e-05     8.04876e-05     8.04876e-05
        0.650629     7.03762e-05     7.03762e-05     7.03762e-05
        0.691831     6.14862e-05     6.14862e-05     6.14862e-05
        0.735642     5.36647e-05     5.36647e-05     5.36647e-05
        0.782228      4.6799e-05      4.6799e-05      4.6799e-05
        0.831764     4.07792e-05     4.07792e-05     4.07792e-05
        0.884437     3.55045e-05     3.55045e-05     3.55045e-05
        0.940445      3.0887e-05      3.0887e-05      3.0887e-05
               1     2.68489e-05     2.68489e-05     2.68489e-05
         1.06333     2.33208e-05     2.33208e-05     2.33208e-05
         1.13066     2.02412e-05     2.02412e-05     2.02412e-05
         1.20226     1.75553e-05     1.75553e-05     1.75553e-05
          1.2784      1.5215e-05      1.5215e-05      1.5215e-05
         1.35936     1.31777e-05     1.31777e-05     1.31777e-05
         1.44544     1.14051e-05     1.14051e-05     1.14051e-05
         1.53697     9.86447e-06     9.86447e-06     9.86447e-06
         1.63431     8.52629e-06     8.52629e-06     8.52629e-06
          1.7378     7.36496e-06     7.36496e-06     7.36496e-06
         1.84785      6.3578e-06      6.3578e-06      6.3578e-06
         1.96487     5.48498e-06     5.48498e-06     5.48498e-06
